StringID	Type		x		y		demand		ReadyTime	DueDate		ServiceTime	altitude
D0		d		40.0		50.0		0.0		0.0		1236.0		0.0		0.0
S0		f		40.0		50.0		0.0		0.0		1236.0		0.0		0.0
S1		f		73.0		52.0		0.0		0.0		1236.0		0.0		-0.020167
S2		f		90.0		55.0		0.0		0.0		1236.0		0.0		-0.004033
S3		f		55.0		79.0		0.0		0.0		1236.0		0.0		0.02904
S4		f		69.0		89.0		0.0		0.0		1236.0		0.0		-0.178571
S5		f		32.0		80.0		0.0		0.0		1236.0		0.0		-0.091108
S6		f		39.0		96.0		0.0		0.0		1236.0		0.0		-0.030369
S7		f		23.0		80.0		0.0		0.0		1236.0		0.0		-0.334062
S8		f		4.0		83.0		0.0		0.0		1236.0		0.0		-0.060739
S9		f		18.0		58.0		0.0		0.0		1236.0		0.0		-0.007905
S10		f		1.0		56.0		0.0		0.0		1236.0		0.0		0.021692
S11		f		13.0		31.0		0.0		0.0		1236.0		0.0		0.043385
S12		f		-5.0		38.0		0.0		0.0		1236.0		0.0		0.130154
S13		f		26.0		37.0		0.0		0.0		1236.0		0.0		0.115385
S14		f		28.0		13.0		0.0		0.0		1236.0		0.0		0.024147
S15		f		39.0		31.0		0.0		0.0		1236.0		0.0		1.0
S16		f		48.0		11.0		0.0		0.0		1236.0		0.0		0.072442
S17		f		59.0		17.0		0.0		0.0		1236.0		0.0		0.012074
S18		f		73.0		23.0		0.0		0.0		1236.0		0.0		-0.015495
S19		f		74.0		32.0		0.0		0.0		1236.0		0.0		-0.046484
S20		f		90.0		44.0		0.0		0.0		1236.0		0.0		-0.030989
C1		c		45.0		68.0		182.5		78.0		140.0		90.0		0.340136
C2		c		45.0		70.0		547.5		499.0		553.0		90.0		0.255102
C3		c		42.0		66.0		182.5		863.0		931.0		90.0		0.467687
C4		c		42.0		68.0		182.5		584.0		656.0		90.0		0.510204
C9		c		38.0		70.0		182.5		958.0		1040.0		90.0		0.127551
C13		c		22.0		75.0		547.5		1042.0		1106.0		90.0		-0.242954
C14		c		22.0		85.0		182.5		263.0		327.0		90.0		-0.212585
C15		c		20.0		80.0		730.0		745.0		789.0		90.0		-0.364431
C16		c		20.0		85.0		730.0		358.0		416.0		90.0		-0.303693
C18		c		15.0		75.0		365.0		557.0		601.0		90.0		-0.121477
C19		c		15.0		80.0		182.5		455.0		513.0		90.0		-0.273324
C23		c		28.0		55.0		182.5		13.0		70.0		90.0		-0.047432
C27		c		23.0		52.0		182.5		263.0		311.0		90.0		-0.079054
C28		c		23.0		55.0		365.0		438.0		510.0		90.0		-0.055338
C29		c		20.0		50.0		182.5		174.0		226.0		90.0		-0.023716
C30		c		20.0		55.0		182.5		355.0		407.0		90.0		-0.015811
C33		c		8.0		40.0		730.0		355.0		437.0		90.0		0.151846
C35		c		5.0		35.0		182.5		655.0		725.0		90.0		0.195231
C36		c		5.0		45.0		182.5		278.0		346.0		90.0		0.173539
C41		c		35.0		32.0		182.5		49.0		109.0		90.0		0.923077
C42		c		33.0		32.0		365.0		239.0		289.0		90.0		0.884615
C44		c		32.0		30.0		182.5		325.0		387.0		90.0		0.807692
C49		c		28.0		35.0		182.5		1011.0		1073.0		90.0		0.423077
C50		c		26.0		32.0		182.5		923.0		975.0		90.0		0.269231
C55		c		42.0		15.0		182.5		905.0		963.0		90.0		0.120737
C56		c		40.0		5.0		547.5		350.0		410.0		90.0		0.096589
C57		c		40.0		15.0		730.0		989.0		1063.0		90.0		0.084516
C58		c		38.0		5.0		547.5		256.0		320.0		90.0		0.060368
C60		c		35.0		5.0		365.0		167.0		223.0		90.0		0.036221
C61		c		50.0		30.0		182.5		980.0		1064.0		90.0		0.461538
C62		c		50.0		35.0		365.0		169.0		229.0		90.0		0.384615
C63		c		50.0		40.0		912.5		15.0		85.0		90.0		0.153846
C64		c		48.0		30.0		182.5		263.0		325.0		90.0		0.576923
C70		c		95.0		30.0		547.5		390.0		444.0		90.0		-0.077473
C71		c		95.0		35.0		365.0		481.0		543.0		90.0		-0.061978
C72		c		53.0		30.0		182.5		904.0		954.0		90.0		0.192308
C73		c		92.0		30.0		182.5		287.0		361.0		90.0		-0.154945
C75		c		45.0		65.0		365.0		16.0		91.0		90.0		0.170068
C76		c		90.0		35.0		182.5		575.0		639.0		90.0		-0.092967
C78		c		88.0		35.0		365.0		667.0		731.0		90.0		-0.139451
C79		c		87.0		30.0		182.5		446.0		506.0		90.0		-0.185934
C84		c		70.0		58.0		365.0		650.0		710.0		90.0		-0.0484
C86		c		66.0		55.0		182.5		173.0		241.0		90.0		-0.0363
C87		c		65.0		55.0		365.0		87.0		145.0		90.0		-0.0242
C89		c		63.0		58.0		182.5		929.0		989.0		90.0		-0.016133
C90		c		60.0		55.0		182.5		21.0		84.0		90.0		-0.008067
C93		c		65.0		85.0		730.0		546.0		616.0		90.0		-0.535714
C94		c		65.0		82.0		182.5		367.0		423.0		90.0		-0.357143
C98		c		58.0		75.0		365.0		181.0		247.0		90.0		0.01936
C99		c		55.0		80.0		182.5		836.0		896.0		90.0		0.03872

Q Battery capacity /79.69/
C Vehicle load capacity /3650.0/
r Energy consumption rate /1.0/
g inverse recharging rate /3.39/
v average Velocity /1.0/
M Vehicle curb weight /6350.0/
